,loss,val_loss
0,9044.4365234375,5966.12744140625
1,7812.0849609375,4007.131591796875
2,6256.45703125,3332.79248046875
3,5807.2822265625,10493.6083984375
4,6555.4052734375,13855.6201171875
5,5336.42626953125,3817.67333984375
6,4875.11865234375,3964.38330078125
7,4565.75146484375,3794.805908203125
8,4998.03125,3360.46435546875
9,4450.181640625,3280.93896484375
10,4570.90087890625,7789.4267578125
11,3919.7685546875,4015.43896484375
12,3894.96923828125,3434.44580078125
13,4325.84228515625,10381.7900390625
14,3723.942138671875,2860.7939453125
15,3817.806884765625,6186.47998046875
16,3684.211669921875,2720.238037109375
17,3660.12158203125,5525.8623046875
18,3182.274658203125,2740.815673828125
19,3322.59765625,6125.0986328125
20,3297.06396484375,3338.001708984375
21,3409.964111328125,4412.71533203125
22,3750.91015625,4630.1953125
23,3151.278076171875,2801.968994140625
24,3654.53466796875,4071.364501953125
25,3375.280517578125,3275.71435546875
26,3238.022705078125,4122.53857421875
