train-rmse,1963.7777344547208
train-mape,0.04798624331159673
train-r2,0.8965516908241349
train-rmse-25,2158.1416892095494
train-mape-25,0.04637574198804522
train-r2-25,-0.4878116181976453
val-rmse,2535.0719605992595
val-mape,0.05571573876864418
val-r2,0.8469902294952071
val-rmse-25,2934.2008603938984
val-mape-25,0.05238243528772403
val-r2-25,-2.7902071841739056
test-rmse,2310.445447533293
test-mape,0.05422845419319112
test-r2,0.8638398177569999
test-rmse-25,2496.818347603558
test-mape-25,0.052688855743970586
test-r2-25,-1.6189610857669203
