,units_layer_0,units_layer_1,units_layer_2,units_layer_3,units_layer_4,units_layer_5,units_layer_6,units_layer_7,units_layer_8,units_layer_9,train-rmse,train-mape,train-r2,train-rmse-25,train-mape-25,train-r2-25,val-rmse,val-mape,val-r2,val-rmse-25,val-mape-25,val-r2-25,test-rmse,test-mape,test-r2,test-rmse-25,test-mape-25,test-r2-25
CISO,128.0,4096.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,4096.0,2288.9412675196195,0.060945580006963776,0.8083908754282201,2431.2151076788737,0.049476241992365236,0.4412354510884233,2479.661443861601,0.06828682156636147,0.7957887268034665,2720.966219484643,0.05642218006337987,0.25332366188960864,3288.1808627684136,0.09671854876354977,0.6012032454540825,2431.3239149909077,0.051695022337586126,0.5836048366540545
ERCO,128.0,4096.0,128.0,4096.0,4096.0,128.0,128.0,4096.0,128.0,256.0,4669.397226122795,0.0843840048875983,0.817267767457429,4952.084173333103,0.06825948781458059,-0.4747837630079614,4681.921110401352,0.08147151964589419,0.8100145444658173,5266.143019518324,0.07311007450318358,-6.349069241359231,4138.525559575222,0.0735666736401049,0.8399552469638449,3419.1518335623273,0.04408812289625993,-0.38904752884301663
MISO,4096.0,128.0,4096.0,128.0,128.0,128.0,4096.0,128.0,128.0,4096.0,6170.639265047037,0.06267995147106653,0.7422198126432615,6816.5979734608345,0.05506561347788325,-0.057741587155932576,7251.87151911636,0.06991277152632773,0.6300097538720417,8033.807094743118,0.061607355061812336,-1.918468288722996,6002.15064982829,0.061690297801528016,0.7047825248983868,5965.412582459284,0.05044587882187096,-0.022718490731502342
PGE,512.0,128.0,128.0,128.0,128.0,128.0,128.0,128.0,4096.0,4096.0,198.5108462631635,0.051931481732906036,0.7075627772735502,303.4642278667252,0.07740829701442847,-1.1369861761717814,182.60793957813718,0.0468062635735423,0.7490211384948631,287.52055297979774,0.07072601595151727,-0.8384411475898215,197.51223354146256,0.05227318696701782,0.7023969671171177,295.0816328033752,0.07457192138674876,-0.3725592161644815
PJM,1024.0,256.0,1024.0,128.0,128.0,4096.0,4096.0,,,,6654.200365936428,0.04839517472984611,0.8392218785417771,7802.487333225136,0.04802865979979317,0.19930173956102595,7352.410486282379,0.05154413475912864,0.8018761941003171,9619.853201746213,0.06024765511348839,-0.4143167740079554,7111.665818625555,0.05300733113439776,0.8149877087549559,8286.734523470663,0.05250284986759456,0.1373602455281857
SOCO,128.0,128.0,128.0,128.0,128.0,128.0,4096.0,4096.0,128.0,4096.0,1963.677202666323,0.04798559936156978,0.8965622822237069,2157.4998426794145,0.04635834016808092,-0.4869267784992419,2535.0886422398585,0.05571563154454158,0.8469882157753306,2934.0053026295063,0.052368637246173785,-2.7897019837605743,2310.161513129327,0.05422596245817021,0.8638732815937685,2496.3291848631407,0.05267681615048573,-1.6179350017587035
SWPP,128.0,4096.0,128.0,4096.0,128.0,4096.0,128.0,128.0,128.0,4096.0,2245.413142841705,0.04842945654922416,0.8859667721860827,3119.3924855708965,0.05751323885614259,0.00368286366577586,2922.3255263245587,0.06683888038022301,0.7871285511923559,3410.455504727167,0.06746781510016574,-2.1127220103969355,2719.739489721421,0.061601305942505666,0.7621207126050695,3801.1897350094155,0.07480052058504576,-0.5783199105798296
