,loss,val_loss
0,5115.2236328125,3532.44580078125
1,3162.65283203125,2851.8603515625
2,3185.957275390625,4872.1064453125
3,2824.45849609375,7223.34326171875
4,2777.8466796875,3126.580810546875
5,2335.320556640625,2499.53515625
6,2549.646484375,2411.309814453125
7,2348.72314453125,2017.737548828125
8,2114.2646484375,1567.3712158203125
9,2105.34033203125,1717.207763671875
10,2287.67578125,2189.8046875
11,2197.939453125,1912.9608154296875
12,2340.825927734375,3538.805908203125
13,2217.776611328125,2055.16943359375
14,1988.3818359375,2455.451171875
15,2094.453857421875,2811.3447265625
16,2142.8369140625,2317.509033203125
17,2030.037841796875,2422.60546875
18,1886.726318359375,1868.4715576171875
