,loss,val_loss
0,15796.9990234375,5196.2734375
1,10586.830078125,8183.18505859375
2,10040.9853515625,10405.671875
3,8440.08203125,10507.9150390625
4,8525.822265625,13096.544921875
5,7240.86279296875,4947.33154296875
6,8474.896484375,9656.2802734375
7,8159.56787109375,8171.43701171875
8,7216.0029296875,6579.95556640625
9,7573.9267578125,15622.439453125
10,6955.220703125,4170.923828125
11,6881.82373046875,9990.201171875
12,6125.896484375,5960.94775390625
13,6255.25390625,12587.91796875
14,6536.44189453125,5941.56494140625
15,6133.18896484375,6818.80224609375
16,7140.79443359375,4992.603515625
17,5534.40087890625,4518.63818359375
18,5588.35595703125,6070.17333984375
19,6443.380859375,4520.3916015625
20,5613.41796875,6054.95458984375
