,loss,val_loss
0,6536.3447265625,5668.9189453125
1,4648.048828125,3137.6650390625
2,3754.322021484375,3455.367919921875
3,3881.939697265625,3967.0
4,3462.3349609375,5458.28955078125
5,3853.84619140625,3065.239013671875
6,3245.2294921875,5643.19677734375
7,3143.680419921875,1628.8931884765625
8,3176.746826171875,3899.31787109375
9,2786.794677734375,2880.0009765625
10,2957.069580078125,2160.46826171875
11,3141.081787109375,4373.6025390625
12,2785.64697265625,1805.586669921875
13,2660.533447265625,2531.038330078125
14,2645.83447265625,1685.9383544921875
15,2457.93896484375,5275.82373046875
16,2751.6328125,2257.0927734375
17,2751.692626953125,2446.519775390625
