,loss,val_loss
0,515.8446655273438,211.20115661621094
1,252.89454650878906,149.50527954101562
2,263.2039794921875,541.1626586914062
3,221.56536865234375,150.2522430419922
4,202.92613220214844,170.243408203125
5,193.32748413085938,346.31591796875
6,194.38893127441406,229.58010864257812
7,167.64060974121094,300.7552795410156
8,169.82093811035156,228.6949920654297
9,176.3289337158203,179.02835083007812
10,163.17234802246094,128.68643188476562
11,166.3597869873047,152.48876953125
12,156.2167205810547,116.93476867675781
13,158.44078063964844,141.7039337158203
14,165.67938232421875,152.310546875
15,156.25677490234375,129.8621368408203
16,150.21856689453125,115.43341064453125
17,155.15618896484375,132.00233459472656
18,150.08522033691406,130.67332458496094
19,157.009521484375,145.33087158203125
20,146.97335815429688,137.2612762451172
21,155.22523498535156,117.50149536132812
22,146.8973388671875,122.74119567871094
23,151.7979278564453,187.00753784179688
24,149.06625366210938,149.92630004882812
25,143.26193237304688,144.4976043701172
26,138.8980255126953,116.5670166015625
