,loss,val_loss
0,16489.28515625,11142.29296875
1,10210.599609375,10574.0244140625
2,8791.4990234375,9890.9130859375
3,9062.5126953125,7813.1484375
4,8052.03076171875,8158.38818359375
5,8247.953125,12080.05078125
6,8423.7197265625,9866.9013671875
7,7982.513671875,5531.81787109375
8,7475.9189453125,7855.1376953125
9,7750.3486328125,6822.8095703125
10,7186.12548828125,4620.4541015625
11,7643.67724609375,4683.7001953125
12,7367.0703125,7961.25048828125
13,7536.775390625,7934.00732421875
14,7002.5390625,4578.1748046875
15,7006.48095703125,4921.18701171875
16,7011.548828125,6209.626953125
17,7184.29248046875,7903.05126953125
18,6790.99658203125,5519.4560546875
19,6505.365234375,5602.919921875
20,6885.109375,6420.54296875
21,6130.4052734375,7048.8349609375
22,6366.43212890625,6261.77197265625
23,6613.72998046875,6031.8740234375
24,6658.0048828125,5666.18798828125
